DNI,NOMBRE,Ciudad,GRUPO,PROMEDIO,EDAD,SEXO
74964061,Keith Davis,Lima,B,10,24,F
31433086,Dacey Nixon,Lima,F,5,21,M
73865669,Leila Frederick,Callao,C,6,99,M
83914454,Dalton Chandler,Callao,F,19,23,M
13456357,Sheila Torres,Callao,B,8,35,F
40203727,Sawyer Rivera,Callao,G,3,92,F
97739854,Astra Wallace,Lima,B,9,22,F
85820614,Alfonso Craft,Callao,C,16,78,F
25969370,Nasim Ware,Lima,A,12,49,F
21931300,Rosalyn Slater,Callao,C,5,64,F
21934070,Clinton Stuart,Lima,C,6,78,M
62893077,Carson Park,Lima,D,8,34,M
69160470,Indira Garcia,Lima,C,20,85,M
18207991,Dale Faulkner,Callao,D,1,79,F
58556708,Bree Massey,Callao,F,15,98,M
24536973,Edward Burton,Lima,B,18,63,F
60678943,Knox Dickson,Lima,A,1,10,M
99639789,Vladimir Ochoa,Lima,A,15,59,M
17533503,Catherine Carver,Callao,F,2,17,F
64863196,Gareth Waters,Callao,B,14,56,M
87981599,Aidan Kinney,Callao,B,3,51,F
78671402,Abra Frederick,Lima,F,10,80,F
81031165,Sylvia Booker,Callao,F,16,38,M
83082280,Yoshi Barnett,Lima,A,5,100,F
88826401,Nathan Ruiz,Lima,C,16,46,F
42989196,Bruce Battle,Lima,C,11,82,M
49512942,Holmes Boone,Callao,C,11,29,M
77053327,Yvette Rocha,Callao,F,15,12,F
80731944,David Joyner,Callao,F,1,62,F
39188290,Tyrone Little,Lima,G,12,23,M
18475133,Ahmed Forbes,Lima,G,12,23,F
27385913,Lawrence Huffman,Lima,C,3,11,M
81894680,Indira Schultz,Callao,D,19,45,F
59282694,Grant Hoffman,Lima,G,4,86,F
21064048,Cherokee Frederick,Lima,F,7,78,M
24672678,Tara Montoya,Callao,D,13,97,M
24583744,Francis Wiggins,Callao,F,5,43,M
42653290,Audrey Wilkinson,Lima,F,6,28,F
42864990,Alika Vasquez,Callao,C,12,77,M
41586567,Basia Orr,Callao,B,17,96,M
63610574,Giselle Morrison,Callao,D,1,29,F
98712837,Alea Haley,Lima,F,6,87,F
91868437,Lucas Sampson,Lima,C,5,49,F
57523160,Uriah Molina,Callao,D,16,39,M
72816961,Chadwick Chase,Callao,D,10,17,M
33304264,Oleg Mcbride,Callao,F,4,86,M
70232451,Sophia Jennings,Lima,F,5,85,M
61565537,Baxter Kerr,Callao,G,14,31,M
95211467,Colette Mcclure,Callao,C,12,87,F
83144006,Upton Beasley,Lima,B,15,92,F
34932539,Isabella Pollard,Lima,C,7,99,M
54085965,Flavia Hodge,Callao,G,14,94,M
85185349,Lacey Whitaker,Lima,D,1,13,F
99153741,Noel Jennings,Callao,B,17,91,F
55045251,Branden Torres,Lima,D,19,29,M
27613540,Clementine Andrews,Callao,B,6,34,F
23949538,Macy Franks,Lima,C,10,45,M
30955861,Xander Holloway,Lima,F,18,66,F
34829308,Linus Roberts,Callao,F,18,42,M
61891132,Katell Watts,Lima,D,11,71,M
57699940,Zorita Hudson,Lima,F,6,66,M
57294128,Paki Livingston,Lima,G,8,41,M
25069327,Jack Holland,Callao,B,19,19,F
97839727,Bruce Jacobs,Lima,D,9,89,F
54811624,Randall Stone,Lima,C,2,49,M
80347461,Colton Jenkins,Lima,F,13,37,F
77843141,Ursula Morrison,Lima,D,18,87,M
56562888,Samuel Bradley,Callao,A,15,36,M
67451708,Burke Guthrie,Lima,F,7,35,F
66960117,Fatima Mueller,Lima,F,7,25,M
11782204,Carla Luna,Callao,G,3,36,F
92041451,Yuri Mcguire,Callao,B,16,69,F
32834623,Bo Mack,Lima,F,15,43,M
20401312,Maryam Smith,Lima,F,16,61,M
12625940,Hope Sanders,Callao,F,16,63,F
26214988,Fulton Wade,Lima,D,9,72,M
37371981,Xaviera Richards,Callao,F,6,57,F
30431340,Phillip Petty,Callao,C,6,82,M
75815037,Idona Woodard,Lima,C,14,37,M
37022737,Ciaran Burke,Callao,C,20,72,M
87392164,Scott Bentley,Lima,D,16,24,F
91931153,Nehru Downs,Lima,F,11,68,M
49862532,Knox Calhoun,Lima,A,1,29,M
21674648,Addison Stephens,Callao,F,7,11,F
33699560,Gage Cherry,Callao,F,10,31,F
35448530,Keith Page,Callao,B,19,66,M
42667450,Yoshio Herman,Lima,B,1,72,M
23694250,Kyla Conley,Lima,A,9,76,M
26529713,Demetria Ellison,Callao,C,9,88,F
73556413,Demetria Simon,Lima,B,18,89,M
78791644,Darryl Gentry,Callao,B,7,35,M
67739674,Idola Suarez,Callao,B,17,56,F
87417977,Autumn Jordan,Lima,B,3,98,M
25134310,Callum Barr,Callao,D,17,72,F
58205153,Lynn Pearson,Lima,G,7,46,F
57997740,Shaeleigh Garza,Callao,F,9,59,F
19338045,Ginger Greene,Lima,D,6,35,F
96546847,Adrian Little,Lima,F,6,49,M
60308023,Kareem Herring,Callao,G,14,88,F
38109005,Tanya Silva,Lima,D,15,96,F
16411406,Mia Martin,Lima,C,18,18,M
49026222,Zorita Browning,Callao,B,11,75,M
26473324,Leandra Woodard,Lima,A,3,58,M
27723925,Molly Calderon,Lima,C,16,27,M
48410312,Norman Hunt,Lima,D,1,81,F
61751852,Ursa Craft,Lima,G,1,77,M
63876558,Reese Joseph,Callao,B,20,77,F
12027115,Indira Dickerson,Callao,D,5,69,M
77979430,Athena Monroe,Lima,C,11,17,M
42342031,Connor Mclean,Lima,G,12,11,F
57961685,Wyatt Brewer,Lima,D,16,64,M
97349125,Preston Leach,Lima,A,19,33,M
25232797,Kato Franklin,Callao,F,1,92,M
80480440,Winter Branch,Lima,F,6,11,F
81624545,Nash Shepard,Lima,F,0,58,F
87620825,Ciara Britt,Lima,C,12,48,F
83088598,Harrison Patterson,Callao,G,2,80,F
78802545,Bryar Howell,Lima,F,18,90,M
27089386,Ingrid Alexander,Lima,A,12,32,M
32559598,Rebekah Bean,Lima,B,4,24,F
13438807,Carter Reeves,Callao,F,13,22,M
79643699,Odysseus Ratliff,Lima,F,18,65,M
67657782,Barbara Dunn,Lima,F,19,61,M
76825958,Lara Houston,Lima,B,15,66,M
41408587,Trevor Hickman,Callao,G,2,68,M
48677838,Neve Dyer,Lima,B,7,42,M
51765196,Jesse Nixon,Callao,C,4,80,F
65947493,Rigel Robbins,Callao,B,1,41,M
